"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Sep 18 23:00:45 EEST 2022","Sun Sep 18 23:00:47 EEST 2022","2153","","UserAccountActionsTest","","UserAccountActionsTest","addBookToLibraryTest","addBookToLibraryTest()",""
"passed","Sun Sep 18 23:00:47 EEST 2022","Sun Sep 18 23:00:47 EEST 2022","1","","UserAccountActionsTest","","UserAccountActionsTest","authenticateUserTest","authenticateUserTest()",""
